Time(s)	xÁÂÇ¥	yÁÂÇ¥	
0.000	98.301	63.677	
0.034	95.913	61.687	
0.067	92.928	59.697	
0.100	89.744	57.110	
0.134	85.964	53.926	
0.167	81.984	50.543	
0.200	77.407	46.763	
0.234	71.835	42.783	
0.267	65.866	38.007	
0.300	59.498	32.833	
0.334	52.533	27.262	
0.367	44.773	20.695	
0.400	36.415	15.322	
0.434	27.262	15.521	
0.467	21.690	20.496	
0.500	20.098	26.466	
0.534	21.690	32.236	
0.567	24.874	35.818	
0.600	28.456	38.007	
0.634	32.037	38.803	
0.667	36.216	38.206	
0.700	40.196	36.415	
0.734	43.181	32.833	
0.767	44.773	27.660	
0.800	43.579	20.894	
0.834	38.405	15.919	
0.867	31.440	14.924	
0.900	24.675	15.919	
0.934	17.511	16.914	
