Time(s)	xÁÂÇ¥	yÁÂÇ¥	
0.000	106.659	70.840	
0.034	104.669	69.249	
0.067	102.480	67.060	
0.100	99.694	64.274	
0.134	96.112	61.090	
0.167	92.331	57.508	
0.200	87.954	53.329	
0.234	82.780	48.554	
0.267	77.208	43.380	
0.300	71.238	37.410	
0.334	64.274	31.241	
0.367	56.911	24.078	
0.400	48.753	16.715	
0.434	38.604	12.934	
0.467	30.644	16.914	
0.500	27.262	23.680	
0.534	27.859	29.848	
0.567	30.644	34.624	
0.600	34.425	37.410	
0.634	39.002	38.803	
0.667	43.181	38.604	
0.700	47.161	37.211	
0.734	50.941	33.430	
0.767	53.130	27.660	
0.800	51.936	20.695	
0.834	46.962	15.322	
0.867	39.798	13.730	
0.900	32.634	14.327	
0.934	25.272	14.327	
0.967	18.108	14.924	
