Time(s)	xÁÂÇ¥	yÁÂÇ¥	
0.000	20.944	-22.970	
0.034	22.633	-26.123	
0.067	24.322	-29.163	
0.100	26.124	-32.204	
0.134	27.813	-35.357	
0.167	29.502	-38.397	
0.200	31.303	-41.437	
0.234	32.880	-44.590	
0.267	34.681	-47.518	
0.300	35.807	-45.491	
0.334	36.933	-42.788	
0.367	38.059	-39.973	
0.400	39.185	-37.271	
0.434	40.312	-34.568	
0.467	41.438	-31.866	
0.500	42.564	-29.276	
0.534	43.577	-26.574	
0.567	44.703	-23.871	
0.600	45.829	-21.169	
0.634	46.955	-18.466	
0.667	47.968	-15.764	
0.700	49.094	-13.061	
0.734	50.220	-10.471	
0.767	51.234	-7.656	
0.800	52.360	-5.067	
0.834	53.036	-4.729	
0.867	53.373	-7.656	
0.900	53.599	-10.584	
0.934	53.936	-13.399	
0.967	54.162	-16.327	
1.000	54.387	-19.142	
1.034	54.725	-22.069	
1.067	54.950	-24.885	
1.100	55.288	-27.700	
1.134	55.513	-30.515	
1.167	55.738	-33.217	
1.200	55.963	-36.257	
1.234	56.301	-38.847	
1.267	56.526	-42.000	
1.300	56.751	-44.815	
1.334	56.977	-47.405	
1.367	56.977	-44.928	
1.400	56.977	-42.450	
1.434	56.864	-39.973	
1.467	56.864	-37.046	
1.500	56.751	-34.794	
