Time(s)	xÁÂÇ¥	yÁÂÇ¥	
0.000	33.893	-32.429	
0.033	33.893	-31.641	
0.066	33.893	-30.965	
0.100	33.893	-30.627	
0.133	33.893	-30.289	
0.166	33.893	-30.177	
0.200	33.893	-30.289	
0.233	33.893	-30.627	
0.266	33.893	-31.190	
0.300	33.781	-31.866	
0.333	33.781	-32.654	
0.366	33.781	-33.555	
0.400	33.781	-34.456	
0.433	33.781	-35.469	
0.466	33.668	-36.257	
0.500	33.668	-37.158	
0.533	33.668	-37.946	
0.566	33.668	-38.509	
0.600	33.668	-38.847	
0.633	33.668	-39.072	
0.666	33.668	-39.072	
0.700	33.668	-38.847	
0.733	33.668	-38.509	
0.766	33.668	-37.834	
0.800	33.668	-37.158	
0.833	33.668	-36.370	
0.866	33.668	-35.469	
0.900	33.668	-34.568	
0.933	33.668	-33.555	
0.966	33.668	-32.767	
1.000	33.668	-31.866	
1.033	33.668	-31.303	
1.066	33.668	-30.740	
1.100	33.668	-30.515	
1.133	33.781	-30.289	
1.166	33.893	-30.402	
1.200	33.893	-30.627	
1.233	33.893	-31.078	
1.266	33.893	-31.753	
1.300	33.893	-32.429	
1.333	34.006	-33.330	
1.366	33.893	-34.231	
1.400	33.893	-35.131	
1.433	33.893	-36.145	
1.466	33.893	-36.933	
1.500	34.006	-37.609	
1.533	33.893	-38.172	
1.566	33.893	-38.622	
1.600	33.893	-38.735	
1.633	33.781	-38.847	
1.666	33.781	-38.622	
1.700	33.781	-38.284	
1.733	33.668	-37.834	
1.766	33.668	-37.158	
1.800	33.668	-36.370	
1.833	33.668	-35.582	
1.866	33.668	-34.568	
1.900	33.443	-33.780	
1.933	33.443	-32.879	
1.966	33.443	-32.091	
2.000	33.443	-31.415	
2.033	33.443	-30.852	
2.066	33.443	-30.515	
2.100	33.443	-30.289	
2.133	33.443	-30.402	
2.166	33.555	-30.627	
2.200	33.668	-31.078	
2.233	33.668	-31.641	
2.266	33.668	-32.429	
2.300	33.668	-33.217	
2.333	33.668	-34.118	
2.366	33.893	-35.131	
2.400	33.893	-36.032	
2.433	33.893	-36.933	
2.466	33.893	-37.609	
2.500	34.006	-38.172	
2.533	34.006	-38.622	
2.566	34.006	-38.847	
2.600	34.006	-38.847	
2.633	34.006	-38.735	
2.666	34.006	-38.397	
2.700	33.893	-37.946	
2.733	33.893	-37.271	
2.766	33.893	-36.483	
2.800	33.893	-35.694	
2.833	33.781	-34.794	
2.866	33.781	-33.893	
2.900	33.668	-32.992	
2.933	33.668	-32.204	
2.966	33.668	-31.528	
3.000	33.668	-30.965	
3.033	33.555	-30.515	
3.066	33.443	-30.289	
3.100	33.443	-30.289	
3.133	33.443	-30.515	
3.166	33.443	-30.852	
3.200	33.443	-31.415	
3.233	33.443	-32.091	
3.266	33.443	-32.992	
3.300	33.443	-33.893	
3.333	33.668	-34.906	
3.366	33.668	-35.807	
3.400	33.668	-36.820	
3.433	33.668	-37.609	
3.466	33.668	-38.284	
3.500	33.781	-38.735	
3.533	33.893	-38.960	
3.566	33.893	-39.072	
3.600	33.893	-38.960	
3.633	33.893	-38.735	
3.666	33.893	-38.284	
3.700	34.006	-37.609	
3.733	34.006	-36.820	
3.766	34.006	-35.920	
3.800	34.006	-35.019	
3.833	34.006	-34.118	
3.866	34.006	-33.217	
3.900	34.006	-32.316	
3.933	33.893	-31.641	
3.966	33.893	-30.965	
4.000	33.893	-30.627	
4.033	33.893	-30.289	
4.066	33.781	-30.289	
4.100	33.781	-30.402	
4.133	33.668	-30.627	
4.166	33.668	-31.190	
4.200	33.668	-31.866	
4.233	33.668	-32.654	
4.266	33.668	-33.555	
4.300	33.668	-34.456	
4.333	33.668	-35.469	
4.366	33.668	-36.370	
4.400	33.668	-37.271	
4.433	33.668	-37.946	
4.466	33.668	-38.622	
4.500	33.668	-38.960	
4.533	33.668	-39.072	
4.566	33.668	-39.072	
4.600	33.668	-38.960	
4.633	33.668	-38.622	
4.666	33.668	-37.946	
4.700	33.781	-37.271	
4.733	33.781	-36.370	
4.766	33.893	-35.469	
4.800	33.893	-34.568	
4.833	33.893	-33.555	
