Time(s)	xÁÂÇ¥	yÁÂÇ¥	
0.000	29.164	-45.829	
0.034	28.376	-45.603	
0.067	27.700	-45.491	
0.100	27.250	-45.266	
0.134	26.687	-45.153	
0.167	26.349	-45.153	
0.200	26.124	-45.153	
0.234	26.124	-45.153	
0.267	26.349	-45.266	
0.300	26.574	-45.491	
0.334	26.912	-45.603	
0.367	27.362	-45.941	
0.400	28.150	-46.166	
0.434	28.939	-46.504	
0.467	29.952	-46.617	
0.500	31.078	-46.955	
0.534	31.979	-47.180	
0.567	32.992	-47.292	
0.600	34.231	-47.518	
0.634	35.695	-47.518	
0.667	36.821	-47.518	
0.700	37.947	-47.518	
0.734	38.848	-47.518	
0.767	39.974	-47.405	
0.800	40.987	-47.292	
0.834	41.775	-47.067	
0.867	42.338	-46.955	
0.900	42.789	-46.955	
0.934	43.014	-46.842	
0.967	43.239	-46.729	
1.000	43.352	-46.729	
1.034	43.239	-46.617	
1.067	43.014	-46.617	
1.100	42.451	-46.729	
1.134	41.663	-46.842	
1.167	40.987	-46.842	
1.200	40.199	-46.842	
1.234	39.298	-46.842	
1.267	38.285	-46.842	
1.300	37.046	-46.955	
1.334	35.920	-46.842	
1.367	34.681	-46.842	
1.400	33.668	-46.617	
1.434	32.655	-46.504	
1.467	31.529	-46.279	
1.500	30.403	-46.166	
1.534	29.389	-45.941	
1.567	28.601	-45.716	
1.600	27.925	-45.603	
1.634	27.362	-45.491	
1.667	26.912	-45.266	
1.700	26.461	-45.266	
1.734	26.236	-45.153	
1.767	26.236	-45.266	
1.800	26.349	-45.378	
1.834	26.461	-45.491	
1.867	26.912	-45.716	
1.900	27.250	-45.829	
1.934	27.813	-46.166	
1.967	28.714	-46.392	
2.000	29.502	-46.617	
2.034	30.628	-46.842	
2.067	31.529	-47.067	
2.100	32.542	-47.292	
2.134	33.781	-47.405	
2.167	35.132	-47.518	
2.200	36.370	-47.518	
2.234	37.384	-47.518	
2.267	38.510	-47.518	
2.300	39.523	-47.405	
2.334	40.424	-47.292	
2.367	41.325	-47.180	
2.400	42.001	-47.067	
2.434	42.564	-46.955	
2.467	42.789	-46.842	
2.500	43.014	-46.729	
2.534	43.239	-46.729	
2.567	43.014	-46.617	
2.600	42.789	-46.617	
2.634	42.451	-46.617	
2.667	41.775	-46.729	
2.700	41.212	-46.729	
2.734	40.424	-46.842	
2.767	39.411	-46.842	
2.800	38.397	-46.842	
2.834	37.384	-46.842	
2.867	36.370	-46.842	
2.900	35.132	-46.729	
2.934	33.893	-46.617	
2.967	32.880	-46.504	
3.000	31.754	-46.392	
3.034	30.740	-46.166	
3.067	29.727	-45.941	
3.100	28.826	-45.829	
3.134	28.150	-45.603	
3.167	27.362	-45.491	
3.200	26.912	-45.378	
3.234	26.461	-45.266	
3.267	26.236	-45.266	
3.300	26.124	-45.266	
3.334	26.236	-45.378	
3.367	26.236	-45.491	
3.400	26.574	-45.716	
3.434	27.024	-45.829	
3.467	27.700	-46.054	
3.500	28.376	-46.392	
3.534	29.164	-46.617	
3.567	30.065	-46.842	
3.600	31.191	-47.067	
3.634	32.204	-47.292	
3.667	33.330	-47.405	
3.700	34.569	-47.518	
3.734	35.807	-47.518	
3.767	36.933	-47.518	
3.800	37.834	-47.518	
3.834	39.073	-47.405	
3.867	40.086	-47.292	
3.900	40.987	-47.180	
3.934	41.550	-47.067	
3.967	42.226	-46.955	
4.000	42.564	-46.842	
4.034	42.901	-46.729	
4.067	43.014	-46.729	
4.100	43.014	-46.617	
4.134	42.789	-46.617	
4.167	42.338	-46.617	
4.200	41.888	-46.729	
4.234	41.325	-46.729	
4.267	40.649	-46.729	
4.300	39.749	-46.842	
4.334	38.622	-46.842	
4.367	37.496	-46.842	
4.400	36.596	-46.842	
4.434	35.470	-46.729	
4.467	34.231	-46.617	
4.500	33.105	-46.504	
4.534	31.979	-46.392	
4.567	30.966	-46.279	
4.600	29.952	-46.054	
4.634	29.164	-45.829	
4.667	28.376	-45.716	
4.700	27.587	-45.603	
4.734	26.912	-45.491	
4.767	26.461	-45.378	
4.800	26.236	-45.378	
4.834	26.236	-45.378	
4.867	26.236	-45.378	
4.900	26.236	-45.491	
4.934	26.461	-45.716	
4.967	26.799	-45.829	
5.000	27.475	-46.054	
5.034	28.150	-46.392	
5.067	28.826	-46.617	
5.100	29.727	-46.842	
5.134	30.740	-47.067	
5.167	31.866	-47.180	
5.200	32.992	-47.405	
5.234	34.118	-47.518	
5.267	35.357	-47.518	
5.300	36.596	-47.518	
5.334	37.496	-47.518	
5.367	38.622	-47.405	
5.400	39.636	-47.292	
5.434	40.649	-47.180	
5.467	41.325	-47.067	
5.500	41.888	-47.067	
5.534	42.338	-46.842	
5.567	42.676	-46.729	
5.600	43.014	-46.729	
5.634	43.014	-46.617	
5.667	42.789	-46.617	
5.700	42.451	-46.617	
5.734	42.001	-46.617	
5.767	41.325	-46.617	
5.800	40.762	-46.729	
5.834	39.974	-46.729	
5.867	38.960	-46.842	
5.900	37.947	-46.842	
5.934	36.821	-46.842	
5.967	35.807	-46.729	
6.000	34.681	-46.729	
6.034	33.555	-46.617	
6.067	32.429	-46.504	
6.100	31.303	-46.279	
6.134	30.177	-46.166	
6.167	29.389	-45.941	
6.200	28.601	-45.829	
6.234	27.925	-45.716	
6.267	27.137	-45.603	
6.300	26.687	-45.491	
6.334	26.461	-45.378	
